15:42:24:711, main: Clock is created
15:42:24:772, main: WaitingArea is created
15:48:00:835, main: Clock is created
15:48:00:873, main: WaitingArea is created
15:48:00:875, Thread-1: Waitress is LIVE
15:48:00:875, Thread-2: Waitress is LIVE
15:48:00:875, Thread-3: Waitress is LIVE
15:48:00:875, Thread-4: Waitress is LIVE
15:48:00:876, Thread-5: Waitress is LIVE
15:48:00:877, Thread-6: Waitress is LIVE
15:48:00:877, Thread-7: Waitress is LIVE
15:48:00:877, Thread-8: Waitress is LIVE
15:48:00:878, Thread-9: Door is LIVE
15:48:00:916, Thread-9: Door made new customer ef341885-a292-442c-afcb-52d6e540bd8f
15:48:00:916, Thread-9: Customer ef341885-a292-442c-afcb-52d6e540bd8f is now waiting
15:48:01:21, Thread-9: Door made new customer 48d84e12-f934-4864-a519-c5b4ce1a6f84
15:48:01:31, Thread-9: Customer 48d84e12-f934-4864-a519-c5b4ce1a6f84 is now waiting
15:48:01:137, Thread-9: Door made new customer 532c3709-54b5-4281-aa25-619354f08991
15:48:01:146, Thread-9: Customer 532c3709-54b5-4281-aa25-619354f08991 is now waiting
15:48:01:253, Thread-9: Door made new customer 09c07313-b594-45d2-a593-15661ca6110a
15:48:01:263, Thread-9: Customer 09c07313-b594-45d2-a593-15661ca6110a is now waiting
15:48:01:369, Thread-9: Door made new customer c56db9ba-cd08-40f9-aebb-214d0c52076e
15:48:01:378, Thread-9: Customer c56db9ba-cd08-40f9-aebb-214d0c52076e is now waiting
15:48:01:484, Thread-9: Door made new customer 55556d5f-5b58-4889-8306-4eec291efa62
15:48:01:494, Thread-9: Customer 55556d5f-5b58-4889-8306-4eec291efa62 is now waiting
15:48:01:599, Thread-9: Door made new customer d06f1a34-5a0b-41b5-ab93-71c9f19dc892
15:48:01:608, Thread-9: Customer d06f1a34-5a0b-41b5-ab93-71c9f19dc892 is now waiting
15:48:01:711, Thread-9: Door made new customer afb3eb6a-b7c3-478c-8b06-d9c8afa19321
15:48:01:720, Thread-9: Customer afb3eb6a-b7c3-478c-8b06-d9c8afa19321 is now waiting
15:48:01:822, Thread-9: Door made new customer a11ba7ab-f5ab-4f84-9431-d5a1ef44804f
15:48:01:831, Thread-9: Customer a11ba7ab-f5ab-4f84-9431-d5a1ef44804f is now waiting
15:48:01:936, Thread-9: Door made new customer 278eeb71-15e1-4a0f-87cb-30a90f5ebbca
15:48:01:945, Thread-9: Customer 278eeb71-15e1-4a0f-87cb-30a90f5ebbca is now waiting
15:48:02:49, Thread-9: Door made new customer 58ee52ea-3252-4661-a2d7-25f2fbf986cb
15:48:02:59, Thread-9: Customer 58ee52ea-3252-4661-a2d7-25f2fbf986cb is now waiting
15:48:02:160, Thread-9: Door made new customer 68ae5240-8f64-495a-b7cc-3345e6da3f33
15:48:02:168, Thread-9: Customer 68ae5240-8f64-495a-b7cc-3345e6da3f33 is now waiting
15:48:02:275, Thread-9: Door made new customer 3348dba4-cec1-4cb8-9461-61691653821c
15:48:02:283, Thread-9: Customer 3348dba4-cec1-4cb8-9461-61691653821c is now waiting
